org	run	bioproject	rol	set_modelo	read_count	base_count	avg_len	strategy	layout	source
rhirr	ERR2841782	PRJEB29180	primario	aplicacion	23176392	1181995992	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841785	PRJEB29180	primario	aplicacion	27041986	1379141286	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841790	PRJEB29180	primario	aplicacion	22700364	1157718564	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841787	PRJEB29180	primario	aplicacion	26716518	1362542418	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841789	PRJEB29180	primario	aplicacion	24953282	1272617382	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841783	PRJEB29180	primario	aplicacion	24951244	1272513444	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841784	PRJEB29180	primario	aplicacion	26413301	1347078351	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841786	PRJEB29180	primario	aplicacion	25805885	1316100135	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	ERR2841788	PRJEB29180	primario	aplicacion	27901425	1422972675	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251175	PRJNA722321	duplicado	aplicacion	6680546	340707846	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251178	PRJNA722321	duplicado	aplicacion	6967874	355361574	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251181	PRJNA722321	duplicado	aplicacion	5199228	265160628	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251184	PRJNA722321	duplicado	aplicacion	19376547	988203897	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251187	PRJNA722321	duplicado	aplicacion	12445735	634732485	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251174	PRJNA722321	duplicado	aplicacion	9373246	478035546	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251180	PRJNA722321	duplicado	aplicacion	5857733	298744383	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251186	PRJNA722321	duplicado	aplicacion	16087334	820454034	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251183	PRJNA722321	duplicado	aplicacion	17808305	908223555	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251176	PRJNA722321	duplicado	aplicacion	3868365	197286615	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251177	PRJNA722321	duplicado	aplicacion	5124690	261359190	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251179	PRJNA722321	duplicado	aplicacion	4207980	214606980	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
rhirr	SRR14251182	PRJNA722321	duplicado	aplicacion	14725135	750981885	51	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
sclsc	SRR7407892	PRJNA477286	primario	aplicacion	6726018	336300900	50	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
sclsc	SRR7407896	PRJNA477286	primario	aplicacion	6018471	300923550	50	miRNA-Seq	SINGLE	TRANSCRIPTOMIC
